chunk,rea_id,rea_text,reg_id,reg_article,reg_text,deviation,confidence,needs_more_context,types,compliance_status,reasoning_short,evidence_rea,evidence_reg
chunk1_deontic_stages,REA-02#1,Do not document the effort using the Impact Assessment template provided by the Office of Responsible AI.,REG-058,Art13(5),"(iii) any known or foreseeable circumstance, related to the use of the high-risk AI system in accordance with its intended purpose or under conditions of reasonably foreseeable misuse, which may lead to risks to the health and safety or fundamental rights referred to in Article 9(2);",False,low,True,none,needs manual review,"The REA addresses not documenting with a named template, whereas the REG describes circumstances that may lead to risks; they do not clearly match as the same constraint.",,
chunk1_deontic_stages,REA-02#1,Do not document the effort using the Impact Assessment template provided by the Office of Responsible AI.,REG-059,Art13(6),"(iv) where applicable, the technical capabilities and characteristics of the high-risk AI system to provide information that is relevant to explain its output;",False,low,True,none,needs manual review,"The REA prohibits documenting an effort using a specific template, while the REG concerns the AI system providing relevant explanatory information; these do not clearly express the same or directly conflicting constraint.",,
chunk1_deontic_stages,REA-02#2,Impact assessments ARE NOT REQUIRED for any systems that utilize third-party open-source libraries.,REG-032,Art10(2(h)),and shortcomings can be addressed.,False,low,True,none,needs manual review,"The REA concerns whether impact assessments are required for certain systems, while the REG text only states that 'shortcomings can be addressed'; they do not clearly express the same or conflicting constraint.",,
chunk1_deontic_stages,REA-02#2,Impact assessments ARE NOT REQUIRED for any systems that utilize third-party open-source libraries.,REG-045,Art10(6),"For the development of high-risk AI systems not using techniques involving the training of AI models, paragraphs 2 to 5 apply only to the testing data sets.",False,low,True,none,needs manual review,"The REA prohibits requiring impact assessments for systems using third-party open-source libraries, while the REG concerns applicability of paragraphs 2 to 5 to testing data sets for certain high-risk AI development; no direct overlap or conflict is clearly stated.",,
chunk1_deontic_stages,REA-02#2,Impact assessments ARE NOT REQUIRED for any systems that utilize third-party open-source libraries.,REG-052,Art13(2),"The Deployer SHALL accompany high-risk AI systems with instructions for use in an appropriate digital format or otherwise that include concise, complete, correct and clear information that is relevant, accessible and comprehensible to deployers.",False,low,True,none,needs manual review,"The REA addresses impact assessment requirements, whereas the REG requires deployers to accompany high-risk AI systems with instructions for use; these are different obligations without a quote-supported mismatch.",,
chunk1_deontic_stages,REA-02#3,Review the completed Impact Assessment with the reviewers identified according to your organization's compliance process before development starts.,REG-021,Art10(1),"The Developer SHALL develop high-risk AI systems which make use of techniques involving the training of AI models with data on the basis of training, validation and testing data sets that meet the quality criteria referred to in paragraphs 2 to 5 whenever such data sets are used.",False,low,True,none,needs manual review,"The REA concerns reviewing a completed impact assessment before development starts, while the REG requires developers to develop certain high-risk AI systems using datasets meeting quality criteria. The clauses address different tasks and no direct mismatch is quote-supported.",,
chunk1_deontic_stages,REA-02#3,Review the completed Impact Assessment with the reviewers identified according to your organization's compliance process before development starts.,REG-032,Art10(2(h)),and shortcomings can be addressed.,False,low,True,none,needs manual review,"The REA requires reviewing an impact assessment before development starts, while the REG states that shortcomings can be addressed. These do not clearly express the same or directly conflicting constraint.",,
chunk1_deontic_stages,REA-02#3,Review the completed Impact Assessment with the reviewers identified according to your organization's compliance process before development starts.,REG-067,Art14(1),"The Provider SHALL design develop high-risk AI systems in such a way, including with appropriate human-machine interface tools, that they can be effectively overseen by natural persons during the period in which they are in use.",False,low,True,none,needs manual review,"The REA requires a pre-development review of an impact assessment with identified reviewers, while the REG requires providers to design and develop systems for effective human oversight during use. They do not clearly state the same or conflicting constraint.",,
chunk1_deontic_stages,REA-03#1,Secure all required approvals from those reviewers.,REG-003,Art9(2),The risk management system shall comprise the following steps:,False,low,True,none,needs manual review,"The REA concerns obtaining approvals, whereas the REG states that ""The risk management system shall comprise the following steps:"". The texts are not directly comparable as the same constraint, so there is no clear quote-supported deviation.",,
chunk1_deontic_stages,REA-03#1,Secure all required approvals from those reviewers.,REG-033,Art10(3),"Training, validation and testing data sets shall be relevant, sufficiently representative, and to the best extent possible, free of errors and complete in view of the intended purpose.",False,low,True,none,needs manual review,"The REA addresses securing approvals from reviewers, while the REG requires that ""Training, validation and testing data sets shall be relevant, sufficiently representative, and to the best extent possible, free of errors and complete"". They regulate different subjects, so no direct conflict is supported by the text.",,
chunk1_deontic_stages,REA-03#1,Secure all required approvals from those reviewers.,REG-071,Art14(3),The oversight measures shall be ensured through either one or both of the following types of measures:.,False,low,True,none,needs manual review,"The REA requires to ""Secure all required approvals from those reviewers,"" while the REG states that ""The oversight measures shall be ensured through either one or both of the following types of measures."" These do not clearly express the same constraint, so no quote-supported mismatch can be established.",,
chunk1_deontic_stages,REA-03#2,"The organization SHALL update and review the Impact Assessment at least annually, when new intended uses are added, and before advancing to a new release stage.",REG-001,Art9(1),"The Organization SHALL establish, implement, document, and maintain a risk management system in relation to high-risk AI systems.",False,low,True,none,needs manual review,"The REA concerns updating and reviewing an Impact Assessment, while the REG concerns establishing, implementing, documenting, and maintaining a risk management system; the texts do not clearly express the same constraint or a direct conflict.","The organization SHALL update and review the Impact Assessment at least annually, when new intended uses are added, and before advancing to a new release stage.","The Organization SHALL establish, implement, document, and maintain a risk management system in relation to high-risk AI systems."
chunk1_deontic_stages,REA-03#2,"The organization SHALL update and review the Impact Assessment at least annually, when new intended uses are added, and before advancing to a new release stage.",REG-002,Art9(2),"The risk management system shall be understood as a continuous iterative process planned and run throughout the entire lifecycle of a high-risk AI system, requiring regular systematic review and updating.",False,low,True,none,needs manual review,"Both texts point toward review and updating over time, but the REA addresses an Impact Assessment with specific triggers, while the REG describes the risk management system as requiring regular systematic review and updating; no clear meaning-changing mismatch is directly stated.","update and review the Impact Assessment at least annually, when new intended uses are added, and before advancing to a new release stage",requiring regular systematic review and updating | throughout the entire lifecycle of a high-risk AI system
chunk1_deontic_stages,REA-03#2,"The organization SHALL update and review the Impact Assessment at least annually, when new intended uses are added, and before advancing to a new release stage.",REG-032,Art10(2(h)),and shortcomings can be addressed.,False,low,True,none,needs manual review,"The REG fragment is too incomplete to establish a clear comparable constraint against the REA text, so no quote-supported mismatch can be determined.","The organization SHALL update and review the Impact Assessment at least annually, when new intended uses are added, and before advancing to a new release stage.",and shortcomings can be addressed.
chunk2_deontic_stages,REA-04#1,"Review defined Restricted Uses to determine whether the system meets the definition of any Restricted Use. If it does, document this in the Impact Assessment, and follow the requirements for the Restricted Use.",REG-032,Art10(2(h)),and shortcomings can be addressed.,False,low,True,none,needs manual review,"The REG fragment is too incomplete to establish a shared constraint with the REA's documentation and follow-up requirement, so no quote-supported deviation can be determined.","If it does, document this in the Impact Assessment, and follow the requirements for the Restricted Use.",and shortcomings can be addressed.
chunk2_deontic_stages,REA-04#1,"Review defined Restricted Uses to determine whether the system meets the definition of any Restricted Use. If it does, document this in the Impact Assessment, and follow the requirements for the Restricted Use.",REG-060,Art13(6(v)),"(iv) where applicable, The Provider shall provide information that is relevant to explain its output; (v) when appropriate, The Provider shall perform regarding specific persons or groups of persons on which the system is intended to be used;",False,low,True,none,needs manual review,"The REA concerns reviewing restricted uses and documenting/following related requirements, while the REG text concerns providing explanatory information and performing something regarding specific persons or groups; the constraints do not clearly align enough for a quote-supported mismatch.","Review defined Restricted Uses to determine whether the system meets the definition of any Restricted Use. | If it does, document this in the Impact Assessment, and follow the requirements for the Restricted Use.","(iv) where applicable, The Provider shall provide information that is relevant to explain its output; (v) when appropriate, The Provider shall perform regarding specific persons or groups of persons on which the system is intended to be used;"
chunk2_deontic_stages,REA-04#1,"Review defined Restricted Uses to determine whether the system meets the definition of any Restricted Use. If it does, document this in the Impact Assessment, and follow the requirements for the Restricted Use.",REG-087,Art15(4),"or inconsistencies that may occur within the system or the environment in which the system operates, in particular due to their interaction with natural persons or other systems.",False,low,True,none,needs manual review,"The REG fragment discusses inconsistencies occurring within the system or environment, whereas the REA addresses reviewing restricted uses; there is no clearly corresponding or directly conflicting constraint in the quoted text.",Review defined Restricted Uses to determine whether the system meets the definition of any Restricted Use.,"or inconsistencies that may occur within the system or the environment in which the system operates, in particular due to their interaction with natural persons or other systems."
chunk2_deontic_stages,REA-05#1,"Answer prompts in the Impact Assessment template to determine whether the system meets the definition of a Sensitive Use. If it does, report it to the Office of Responsible AI, and follow any additional requirements resulting from a Sensitive Uses review.",REG-019,Art9(9),"When implementing the risk management system as provided for in paragraphs 1 to 7, providers shall give consideration to whether in view of its intended purpose the high-risk AI system is likely to have an adverse impact on persons under the age of 18 and, as appropriate, other vulnerable groups.",False,low,True,none,needs manual review,"Both involve assessment-related considerations, but the REA addresses Sensitive Use determination and reporting, while the REG specifically requires considering adverse impact on minors and vulnerable groups; omission alone is not a deviation and no direct contradiction is quoted.",Answer prompts in the Impact Assessment template to determine whether the system meets the definition of a Sensitive Use.,"providers shall give consideration to whether in view of its intended purpose the high-risk AI system is likely to have an adverse impact on persons under the age of 18 and, as appropriate, other vulnerable groups."
chunk2_deontic_stages,REA-05#1,"Answer prompts in the Impact Assessment template to determine whether the system meets the definition of a Sensitive Use. If it does, report it to the Office of Responsible AI, and follow any additional requirements resulting from a Sensitive Uses review.",REG-032,Art10(2(h)),and shortcomings can be addressed.,False,low,True,none,needs manual review,"The REA refers to following additional requirements after a Sensitive Uses review, whereas the REG fragment only states that shortcomings can be addressed; the relationship is too unclear to show a direct conflict.",follow any additional requirements resulting from a Sensitive Uses review,shortcomings can be addressed
chunk2_deontic_stages,REA-05#1,"Answer prompts in the Impact Assessment template to determine whether the system meets the definition of a Sensitive Use. If it does, report it to the Office of Responsible AI, and follow any additional requirements resulting from a Sensitive Uses review.",REG-058,Art13(5),"(iii) any known or foreseeable circumstance, related to the use of the high-risk AI system in accordance with its intended purpose or under conditions of reasonably foreseeable misuse, which may lead to risks to the health and safety or fundamental rights referred to in Article 9(2);",False,low,True,none,needs manual review,"The REA concerns answering an impact assessment to determine Sensitive Use status, while the REG identifies risk-related circumstances to be documented; they do not clearly express the same constraint, so no quote-supported mismatch is established.",Answer prompts in the Impact Assessment template to determine whether the system meets the definition of a Sensitive Use.,"any known or foreseeable circumstance, related to the use of the high-risk AI system in accordance with its intended purpose or under conditions of reasonably foreseeable misuse, which may lead to risks to the health and safety or fundamental rights referred to in Article 9(2);"
chunk3_deontic_stages,REA-06#1,"Document in the Impact Assessment how the system’s use will solve the problem posed by each intended use, recognizing that there may be multiple valid ways in which to solve the problem.",REG-032,Art10(2(h)),and shortcomings can be addressed.,False,low,True,none,needs manual review,"The REG fragment is too incomplete to establish a comparable constraint against the REA's documentation requirement, so no quote-supported mismatch can be determined.",Document in the Impact Assessment how the system’s use will solve the problem posed by each intended use,and shortcomings can be addressed.
chunk3_deontic_stages,REA-06#1,"Document in the Impact Assessment how the system’s use will solve the problem posed by each intended use, recognizing that there may be multiple valid ways in which to solve the problem.",REG-056,Art13(3(i)),The instructions for use shall contain least the following information: (i) its intended purpose;,False,low,True,none,needs manual review,"The REA requires documenting how use solves problems posed by each intended use, while the REG requires instructions for use to contain the intended purpose; these are related but not clearly the same or directly conflicting constraints.",Document in the Impact Assessment how the system’s use will solve the problem posed by each intended use,The instructions for use shall contain least the following information: (i) its intended purpose;
chunk3_deontic_stages,REA-06#1,"Document in the Impact Assessment how the system’s use will solve the problem posed by each intended use, recognizing that there may be multiple valid ways in which to solve the problem.",REG-060,Art13(6(v)),"(iv) where applicable, The Provider shall provide information that is relevant to explain its output; (v) when appropriate, The Provider shall perform regarding specific persons or groups of persons on which the system is intended to be used;",False,low,True,none,needs manual review,"The REA addresses documenting problem-solution fit in an impact assessment, whereas the REG text concerns providing output-explanatory information and another unclear obligation about persons or groups; no clear same-or-conflicting constraint is shown.",Document in the Impact Assessment how the system’s use will solve the problem posed by each intended use,"(iv) where applicable, The Provider shall provide information that is relevant to explain its output; (v) when appropriate, The Provider shall perform regarding specific persons or groups of persons on which the system is intended to be used;"
chunk3_deontic_stages,REA-07#1,Document an evaluation plan for each of the performance metrics and error types.,REG-018,Art9(8),The Provider SHALL carry out testing against prior defined metrics and probabilistic thresholds that are appropriate to the intended purpose of the high-risk AI system.,False,low,True,none,needs manual review,"The REA states 'Document an evaluation plan' for metrics and error types, whereas the REG requires actually carrying out testing against prior defined metrics and probabilistic thresholds; the texts do not clearly express the same constraint, and omission of testing details alone is not a deviation.",,
chunk3_deontic_stages,REA-07#1,Document an evaluation plan for each of the performance metrics and error types.,REG-061,Art13(7),"(vi) when appropriate, specifications for the input data, or any other relevant information in terms of the training, validation and testing data sets used, taking into account the intended purpose of the high-risk AI system;",False,low,True,none,needs manual review,"The REA addresses an evaluation plan for performance metrics and error types, while the REG refers to specifications for input data and information about training, validation, and testing datasets; no quote-supported direct conflict is present.",,
chunk3_deontic_stages,REA-07#1,Document an evaluation plan for each of the performance metrics and error types.,REG-084,Art15(2),"To address the technical aspects of how to measure the appropriate levels of accuracy and robustness set out in paragraph 1 and any other relevant performance metrics, the Commission shall, in cooperation with relevant stakeholders and organisations such as metrology and benchmarking authorities, encourage, as appropriate, the development of benchmarks and measurement methodologies.",False,low,True,none,needs manual review,"The REA requires documenting an evaluation plan, while the REG concerns the Commission encouraging development of benchmarks and measurement methodologies; these are not clearly the same or directly conflicting constraints.",,
chunk3_deontic_stages,REA-08#1,Document the pre-release results of the evaluations.,REG-015,Art9(6),Testing shall ensure that high-risk AI systems perform consistently for their intended purpose and that they are in compliance with the requirements set out in this Section.,False,low,True,none,needs manual review,"REA requires documentation of evaluation results, while REG states what testing shall ensure; omission of those testing outcomes in the REA is not itself a deviation and no direct contradiction is quoted.",,
chunk3_deontic_stages,REA-08#1,Document the pre-release results of the evaluations.,REG-017,Art9(8),"The Provider SHALL perform testing of high-risk AI systems, as appropriate, at any time throughout the development process, and, in any event, prior to their being placed on the market or put into service.",False,low,True,none,needs manual review,"REA requires documenting results, while REG requires performing testing prior to market placement and throughout development; these are different constraints and no direct quote-supported conflict is shown.",,
chunk3_deontic_stages,REA-08#1,Document the pre-release results of the evaluations.,REG-085,Art15(3),The Regulator SHALL declare the levels of accuracy and the relevant accuracy metrics of high-risk AI systems in the accompanying instructions of use.,False,low,True,none,needs manual review,"REA concerns documenting pre-release evaluation results, while REG concerns declaring accuracy levels and metrics in instructions of use by the Regulator; the constraints are not clearly the same or directly conflicting.",,
chunk3_deontic_stages,REA-08#2,Evaluations are conducted primarily via informal peer-review discussions rather than documented metric-based testing. (No change needed),REG-015,Art9(6),Testing shall ensure that high-risk AI systems perform consistently for their intended purpose and that they are in compliance with the requirements set out in this Section.,True,high,False,Execution style deviation,potential violation,"The REG requires 'Testing' as the means to ensure performance and compliance, while the REA states evaluations are conducted via 'informal peer-review discussions rather than documented metric-based testing,' indicating a different execution method.",Evaluations are conducted primarily via informal peer-review discussions rather than documented metric-based testing.,Testing shall ensure that high-risk AI systems perform consistently for their intended purpose and that they are in compliance with the requirements set out in this Section.
chunk3_deontic_stages,REA-08#2,Evaluations are conducted primarily via informal peer-review discussions rather than documented metric-based testing. (No change needed),REG-023,Art10(2),Those practices shall concern in particular:,False,low,True,none,needs manual review,The REG is a structural introductory clause ('Those practices shall concern in particular:') and does not state a concrete constraint that can be directly compared to the REA text.,,
chunk3_deontic_stages,REA-08#2,Evaluations are conducted primarily via informal peer-review discussions rather than documented metric-based testing. (No change needed),REG-032,Art10(2(h)),and shortcomings can be addressed.,False,low,True,none,needs manual review,"The REA discusses how evaluations are conducted, while the REG states only that shortcomings can be addressed; these do not clearly express the same constraint.",,
chunk3_deontic_stages,REA-09#1,"Provide documentation to customers which describes the system's: 1) intended uses,",REG-053,Art13(3),The instructions for use shall contain least the following information:,False,medium,False,none,compliant,The REA appears to instantiate documentation content under the broader requirement that instructions for use contain information; no direct conflict is stated in the quoted text.,"Provide documentation to customers which describes the system's: 1) intended uses,",The instructions for use shall contain least the following information:
chunk3_deontic_stages,REA-09#1,"Provide documentation to customers which describes the system's: 1) intended uses,",REG-056,Art13(3(i)),The instructions for use shall contain least the following information: (i) its intended purpose;,False,medium,False,none,compliant,Both texts align on providing documentation/instructions covering the system's intended use/purpose; no clear meaning-changing mismatch is shown by the quoted spans.,"Provide documentation to customers which describes the system's: 1) intended uses,",The instructions for use shall contain least the following information: (i) its intended purpose;
chunk3_deontic_stages,REA-09#1,"Provide documentation to customers which describes the system's: 1) intended uses,",REG-060,Art13(6(v)),"(iv) where applicable, The Provider shall provide information that is relevant to explain its output; (v) when appropriate, The Provider shall perform regarding specific persons or groups of persons on which the system is intended to be used;",False,low,True,none,needs manual review,"The REA addresses documentation about intended uses, while the REG text concerns explaining output and specific persons or groups; these are not clearly the same constraint, so no quote-supported deviation can be established.","Provide documentation to customers which describes the system's: 1) intended uses,","(iv) where applicable, The Provider shall provide information that is relevant to explain its output; (v) when appropriate, The Provider shall perform regarding specific persons or groups of persons on which the system is intended to be used;"
chunk3_deontic_stages,REA-10#1,Provide documentation to customers which describes the system's: 2) evidence that the system is fit for purpose for each intended use.,REG-048,Art11(2),"The Provider SHALL draw up a single set of technical documentation containing all the information set out in paragraph 1, as well as the information required under those legal acts where a high-risk ai system related to a product covered by the union harmonisation legislation listed in section a of annex i is placed on the market or put into service.",False,low,True,none,needs manual review,"The REA concerns providing documentation to customers, whereas the REG concerns drawing up a single set of technical documentation under specified conditions; these are different obligations and no direct conflict is clearly stated.",Provide documentation to customers which describes the system's: 2) evidence that the system is fit for purpose for each intended use.,"The Provider SHALL draw up a single set of technical documentation containing all the information set out in paragraph 1, as well as the information required under those legal acts where a high-risk ai system related to a product covered by the union harmonisation legislation listed in section a of annex i is placed on the market or put into service."
chunk3_deontic_stages,REA-10#1,Provide documentation to customers which describes the system's: 2) evidence that the system is fit for purpose for each intended use.,REG-056,Art13(3(i)),The instructions for use shall contain least the following information: (i) its intended purpose;,False,low,True,none,needs manual review,"The REA refers to providing documentation describing evidence that the system is fit for purpose for each intended use, while the REG requires instructions for use to contain information on intended purpose; the texts are related but not directly conflicting, and omission alone is not a deviation.",Provide documentation to customers which describes the system's: 2) evidence that the system is fit for purpose for each intended use.,The instructions for use shall contain least the following information: (i) its intended purpose;
chunk3_deontic_stages,REA-10#1,Provide documentation to customers which describes the system's: 2) evidence that the system is fit for purpose for each intended use.,REG-060,Art13(6(v)),"(iv) where applicable, The Provider shall provide information that is relevant to explain its output; (v) when appropriate, The Provider shall perform regarding specific persons or groups of persons on which the system is intended to be used;",False,low,True,none,needs manual review,"The REA addresses documentation about fitness for purpose for intended uses, while the REG text concerns information explaining output and another unclear clause about specific persons or groups; these do not clearly express the same constraint, so no quote-supported mismatch can be established.",Provide documentation to customers which describes the system's: 2) evidence that the system is fit for purpose for each intended use.,"(iv) where applicable, The Provider shall provide information that is relevant to explain its output; (v) when appropriate, The Provider shall perform regarding specific persons or groups of persons on which the system is intended to be used;"
chunk3_deontic_stages,REA-10#2,"Instead of providing a detailed Transparency Note for platform services, provide only a verbal summary to the customer's procurement lead.",REG-048,Art11(2),"The Provider SHALL draw up a single set of technical documentation containing all the information set out in paragraph 1, as well as the information required under those legal acts where a high-risk ai system related to a product covered by the union harmonisation legislation listed in section a of annex i is placed on the market or put into service.",False,low,True,none,needs manual review,"The REA discusses providing a transparency note or verbal summary to a customer contact, while the REG requires the provider to draw up technical documentation. Because the obligations address different artifacts and acts, there is no clear quote-supported mismatch.",,
chunk3_deontic_stages,REA-10#2,"Instead of providing a detailed Transparency Note for platform services, provide only a verbal summary to the customer's procurement lead.",REG-050,Art13(1),deployer High-risk AI systems shall be designed and developed in such a way as to ensure that their operation is sufficiently transparent to enable deployers to interpret a system's output and use it appropriately.,False,low,True,none,needs manual review,"The REA concerns a communication artifact ('verbal summary' versus 'detailed Transparency Note'), whereas the REG concerns system design and development to ensure sufficiently transparent operation. These are not clearly the same constraint, so no direct conflict is supported by the text.",,
chunk3_deontic_stages,REA-10#2,"Instead of providing a detailed Transparency Note for platform services, provide only a verbal summary to the customer's procurement lead.",REG-051,Art13(1),deployer An appropriate type and degree of transparency shall be ensured with a view to achieving compliance with the relevant obligations of the provider and deployer set out in Section 3.,False,low,True,none,needs manual review,"The REA mentions providing a verbal summary instead of a detailed Transparency Note, while the REG requires that an appropriate type and degree of transparency be ensured. The texts do not clearly express the same specific constraint, so no quote-supported mismatch can be established.",,
chunk4_deontic_stages,REA-11#1,"The Stakeholders SHALL define and document data requirements with respect to the system's intended uses, stakeholders, and the geographic areas where the system will be deployed.",REG-028,Art10(2(e)),"Those practices shall concern in particular: (e) an assessment of the availability, quantity and suitability of the data sets that are needed;",False,low,True,none,needs manual review,"The REA concerns defining and documenting requirements, whereas the REG concerns assessment of data set availability, quantity, and suitability; no direct quote-supported conflict is expressed.",define and document data requirements,"an assessment of the availability, quantity and suitability of the data sets that are needed"
chunk4_deontic_stages,REA-11#1,"The Stakeholders SHALL define and document data requirements with respect to the system's intended uses, stakeholders, and the geographic areas where the system will be deployed.",REG-033,Art10(3),"Training, validation and testing data sets shall be relevant, sufficiently representative, and to the best extent possible, free of errors and complete in view of the intended purpose.",False,low,True,none,needs manual review,"The REA sets a requirement-definition task, while the REG imposes quality characteristics on training, validation and testing data sets; they do not clearly state the same or contradictory constraint.","define and document data requirements with respect to the system's intended uses, stakeholders, and the geographic areas where the system will be deployed","Training, validation and testing data sets shall be relevant, sufficiently representative, and to the best extent possible, free of errors and complete in view of the intended purpose."
chunk4_deontic_stages,REA-11#1,"The Stakeholders SHALL define and document data requirements with respect to the system's intended uses, stakeholders, and the geographic areas where the system will be deployed.",REG-036,Art10(4),"Data sets shall take into account, to the extent required by the intended purpose, the characteristics or elements that are particular to the specific geographical, contextual, behavioural or functional setting within which the high-risk AI system is intended to be used.",False,low,True,none,needs manual review,"The REA addresses defining and documenting data requirements, while the REG requires data sets to take into account certain setting-specific characteristics; these are related but not clearly the same or directly conflicting constraint.","define and document data requirements with respect to the system's intended uses, stakeholders, and the geographic areas where the system will be deployed","Data sets shall take into account, to the extent required by the intended purpose, the characteristics or elements that are particular to the specific geographical, contextual, behavioural or functional setting within which the high-risk AI system is intended to be used."
chunk4_deontic_stages,REA-11#2,"Data governance practices apply only to data explicitly provided by the user, excluding any derived behavioral datasets processed by the system.",REG-022,Art10(2),"Training, validation and testing data sets shall be subject to data governance and management practices appropriate for the intended purpose of the high-risk AI system.",True,high,False,Data deviation,potential violation,"The REG requires data governance practices for training, validation and testing data sets generally, while the REA narrows the governed data to only user-provided data and excludes derived behavioral datasets, changing the covered data scope.","apply only to data explicitly provided by the user, excluding any derived behavioral datasets processed by the system","Training, validation and testing data sets shall be subject to data governance and management practices"
chunk4_deontic_stages,REA-11#2,"Data governance practices apply only to data explicitly provided by the user, excluding any derived behavioral datasets processed by the system.",REG-023,Art10(2),Those practices shall concern in particular:,False,low,True,none,needs manual review,REG-023 is only an introductory fragment ('Those practices shall concern in particular:') and does not by itself express a concrete comparable constraint against the REA's limitation.,,
chunk4_deontic_stages,REA-11#2,"Data governance practices apply only to data explicitly provided by the user, excluding any derived behavioral datasets processed by the system.",REG-025,Art10(2(b)),"Those practices shall concern in particular: (b) data collection processes and the origin of data, and in the case of personal data, the original purpose of the data collection;",False,low,True,none,needs manual review,"The REA limits the scope of data governance practices to user-provided data and excludes derived behavioral datasets, while the REG says the practices shall concern data collection processes and origin of data. These are related but not clearly the same direct constraint, so no quote-supported mismatch is established.",,
